Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1997,1,18,Kenny Holmes,DE,2003,0,0,5,39,98,,,,,,,,,,,,2,38.5,Miami (FL)
1997,2,46,Joey Kent,WR,1999,0,0,0,2,30,,,,,,,,,13,159,1,,,Tennessee
1997,3,75,Denard Walker,DB,2005,0,0,6,36,134,,,,,,,,,,,,13,,LSU
1997,3,81,Scott Sanderson,T,2003,0,0,0,4,45,,,,,,,,,,,,,,Washington St.
1997,4,98,Derrick Mason,WR,2011,1,2,11,86,230,,,,,,9,3,0,943,12061,66,,,Michigan St.
1997,4,107,Pratt Lyons,DE,1998,0,0,1,7,32,,,,,,,,,,,,,4.5,
1997,5,143,George McCullough,DB,2001,0,0,0,2,39,,,,,,,,,,,,,,Baylor
1997,6,181,Dennis Stallings,LB,1998,0,0,0,2,28,,,,,,,,,,,,,,Illinois
1997,7,216,Armon Williams,DB,1997,0,0,0,0,6,,,,,,,,,,,,,,Arizona
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1996,1,14,Eddie George,RB,2004,1,4,8,77,141,,,,,,2865,10441,68,268,2227,10,,,Ohio St.
1996,2,38,Bryant Mix,DE,1997,0,0,0,1,7,,,,,,,,,,,,,1.0,Alcorn St.
1996,2,48,Jason Layman,G,1999,0,0,1,9,61,,,,,,,,,,,,,,Tennessee
1996,3,74,Terry Killens,LB,2002,0,0,0,8,97,,,,,,,,,,,,,1.0,Penn St.
1996,4,107,Kendrick Burton,DE,1996,0,0,0,1,4,,,,,,,,,,,,,,Alabama
1996,4,109,Jon Runyan,T,2009,0,1,12,76,207,,,,,,,,,,,,,,Michigan
1996,5,143,Rayna Stewart,DB,2000,0,0,0,10,71,,,,,,,,,,,,2,0.5,Northern Arizona
1996,6,177,Anthony Dorsett,DB,2003,0,0,2,22,118,,,,,,,,,,,,3,2.0,Pittsburgh
1996,7,218,Mike Archie,RB,1998,0,0,0,0,23,1,2,18,1,0,6,24,1,5,25,0,,,Penn St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1995,1,3,Steve McNair,QB,2007,0,3,10,100,161,2733,4544,31304,174,119,669,3590,37,1,4,0,,,Alcorn St.
1995,2,35,Anthony Cook,DE,1999,0,0,2,20,67,,,,,,,,,,,,,17.0,South Carolina St.
1995,3,67,Chris Sanders,WR,2001,0,0,4,28,97,,,,,,4,-36,0,177,3285,17,,,Ohio St.
1995,3,89,Rodney Thomas,RB,2001,0,0,1,17,103,,,,,,532,1973,12,91,631,3,,,Texas A&M
1995,3,95,Torey Hunter,DB,1995,0,0,0,1,12,,,,,,,,,,,,,,Washington St.
1995,4,101,Michael Roan,TE,2000,0,0,1,9,62,,,,,,,,,45,403,3,,,Wisconsin
