Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1995,4,134,Steve Stenstrom,QB,1999,0,0,0,6,17,177,314,1895,4,12,22,100,2,1,9,0,,,Stanford
1995,5,155,Mike Pelton,DT,,0,0,0,,,,,,,,,,,,,,,,Auburn
1995,5,164,Jerrott Willard,LB,1998,0,0,0,0,1,,,,,,,,,,,,,,California
1995,6,202,Bryan Proby,DT,1995,0,0,0,0,3,,,,,,,,,,,,,,Arizona St.
1995,6,207,Tom Barndt,DT,2001,0,0,2,21,81,,,,,,,,,,,,,8.0,Pittsburgh
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1994,1,25,Greg Hill,RB,1999,0,0,2,23,79,,,,,,772,3218,12,52,406,1,,,Texas A&M
1994,2,58,Donnell Bennett,RB,2001,0,0,2,14,102,,,,,,529,1941,17,66,352,1,,,Miami (FL)
1994,3,92,Lake Dawson,WR,1997,0,0,2,12,43,,,,,,4,15,0,103,1406,10,,,Notre Dame
1994,3,96,Chris Penn,WR,1999,0,0,1,15,70,,,,,,1,-1,0,148,1945,12,,,Tulsa
1994,4,127,Bracy Walker,DB,2005,0,0,3,24,167,,,,,,,,,,,,8,2.0,North Carolina
1994,5,151,James Burton,DB,1997,0,0,0,5,45,,,,,,,,,,,,1,,Fresno St.
1994,5,156,Rob Waldrop,DT,1994,0,0,0,0,3,,,,,,,,,,,,,,Arizona
1994,6,185,Anthony Daigle,RB,1994,0,0,0,0,1,,,,,,,,,,,,,,Fresno St.
1994,7,199,Steve Matthews,QB,1998,0,0,0,1,3,28,43,299,0,0,1,10,0,,,,,,Memphis
1994,7,219,Tracy Greene,TE,1995,0,0,0,2,23,,,,,,,,,6,69,1,,,Grambling St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1993,3,74,Will Shields,G,2006,2,12,14,96,224,,,,,,,,,1,4,0,,,Nebraska
1993,4,103,Jaime Fields,LB,1994,0,0,0,2,17,,,,,,,,,,,,,,Washington
1993,5,130,Lindsay Knapp,G,1996,0,0,0,1,10,,,,,,,,,,,,,,Notre Dame
1993,6,159,Darius Turner,RB,,0,0,0,,,,,,,,,,,,,,,,Washington
1993,7,186,Danan Hughes,WR,1998,0,0,0,5,85,2,2,55,0,0,1,5,0,46,425,4,,,Iowa
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1992,1,20,Dale Carter,DB,2005,0,4,8,68,156,,,,,,2,5,0,6,89,1,24,1.0,Tennessee
1992,2,40,Matt Blundin,QB,1997,0,0,0,0,3,2,9,15,0,2,,,,,,,,,Virginia
1992,4,101,Mike Evans,DT,1992,0,0,0,1,12,,,,,,,,,,,,,,Michigan
1992,6,159,Tony Smith,WR,,0,0,0,,,,,,,,,,,,,,,,Notre Dame
1992,7,186,Erick Anderson,LB,1994,0,0,0,1,10,,,,,,,,,,,,,,Michigan
1992,8,213,Jim Jennings,G,,0,0,0,,,,,,,,,,,,,,,,San Diego St.
1992,9,244,Jay Leeuwenburg,G,2000,0,0,7,38,137,,,,,,,,,,,,,,Colorado
1992,10,271,Jerry Ostroski,G,2001,0,0,6,34,106,,,,,,,,,,,,,,Tulsa
1992,11,298,Doug Rigby,DE,,0,0,0,,,,,,,,,,,,,,,,Wyoming
1992,12,325,Corey Williams,DB,,0,0,0,,,,,,,,,,,,,,,,Oklahoma St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1991,1,21,Harvey Williams,RB,1998,0,0,2,34,110,3,5,58,2,0,1021,3952,20,193,1442,7,,,LSU
1991,2,50,Joe Valerio,C,1996,0,0,0,6,62,,,,,,,,,4,7,4,,,Pennsylvania
1991,3,77,Tim Barnett,WR,1993,0,0,1,14,44,,,,,,1,3,0,82,1188,10,,,Jackson St.
1991,5,133,Charles Mincy,DB,1999,0,0,3,32,114,,,,,,,,,,,,23,,Washington
1991,6,162,Darrell Malone,DB,1994,0,0,0,2,29,,,,,,,,,,,,1,,Jacksonville St.
1991,7,189,Bernard Ellison,DB,,0,0,0,,,,,,,,,,,,,,,,Nevada-Reno
1991,8,218,Tom Dohring,T,1992,0,0,0,1,3,,,,,,,,,,,,,,Michigan
1991,9,244,Robbie Keen,K,,0,0,0,,,,,,,,,,,,,,,,California
1991,10,273,Eric Ramsey,DB,,0,0,0,,,,,,,,,,,,,,,,Auburn
1991,11,300,Bobby Olive,WR,1996,0,0,0,0,2,,,,,,,,,,,,,,Ohio St.
1991,12,329,Ron Shipley,G,,0,0,0,,,,,,,,,,,,,,,,New Mexico
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1990,1,13,Percy Snow,LB,1993,0,0,1,10,40,,,,,,,,,,,,1,2.0,Michigan St.
1990,2,40,Tim Grunhard,C,2000,0,1,11,54,169,,,,,,,,,,,,,,Notre Dame
1990,4,96,Fred Jones,WR,1993,0,0,0,5,41,,,,,,6,33,0,36,466,0,,,Grambling St.
1990,5,124,Derrick Graham,G,1998,0,0,4,22,99,,,,,,,,,,,,,,Appalachian St.
1990,5,127,Ken Hackemack,T,,0,0,0,,,,,,,,,,,,,,,,Texas
1990,6,152,Tom Sims,DT,1994,0,0,0,5,47,,,,,,,,,,,,,4.0,Pittsburgh
1990,7,180,Dave Szott,G,2003,1,0,11,58,177,,,,,,,,,,,,,,Penn St.
1990,9,235,Michael Owens,RB,,0,0,0,,,,,,,,,,,,,,,,Syracuse
1990,10,263,Craig Hudson,TE,,0,0,0,,,,,,,,,,,,,,,,Wisconsin
1990,11,291,Ernest Thompson,RB,,0,0,0,,,,,,,,,,,,,,,,Georgia Southern
1990,12,318,Tony Jeffery,WR,,0,0,0,,,,,,,,,,,,,,,,San Jose St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1989,1,4,Derrick Thomas HOF,LB,1999,2,9,11,104,169,,,,,,,,,,,,1,126.5,Alabama
1989,2,32,Mike Elkins,QB,1989,0,0,0,0,1,1,2,5,0,1,,,,,,,,,Wake Forest
